user,time slot,region,ground truth,sensing traffic,prediction,noise(pp)
7,88,26,80.0,80,89,0.0
7,105,29,2.0,2,4,0.0
7,43,29,15.0,15,8,0.0
7,14,20,252.0,252,275,0.0
7,57,25,63.0,63,61,0.0
7,110,12,28.0,28,29,0.0
7,34,18,43.0,43,45,0.0
7,69,18,132.0,132,121,0.0
7,77,1,18.0,18,23,0.0
8,88,29,3.0,3,5,0.0
8,80,6,23.0,23,28,0.0
8,50,11,86.0,86,74,0.0
8,52,28,10.0,10,14,0.0
8,47,10,221.0,221,197,0.0
8,7,1,128.0,128,122,0.0
8,30,8,19.0,19,17,0.0
8,84,9,95.0,95,85,0.0
8,9,0,67.0,67,79,0.0
8,37,24,87.0,87,128,0.0
8,73,27,35.0,35,37,0.0
8,48,26,123.0,123,125,0.0
8,101,13,112.0,112,105,0.0
8,75,29,3.0,3,1,0.0
8,23,14,68.0,68,58,0.0
8,12,8,236.0,236,221,0.0
8,61,4,61.0,61,61,0.0
8,110,0,28.0,28,33,0.0
8,40,9,248.0,248,287,0.0
8,27,16,14.0,14,12,0.0
8,54,20,359.0,359,335,0.0
8,26,13,29.0,29,37,0.0
8,51,19,105.0,105,93,0.0
8,25,11,43.0,43,28,0.0
8,56,21,167.0,167,145,0.0
8,43,1,90.0,90,114,0.0
8,74,6,62.0,62,52,0.0
8,58,19,52.0,52,52,0.0
8,8,21,198.0,198,177,0.0
8,95,17,0.0,0,1,0.0
9,59,31,0.0,0,1,0.0
9,47,24,124.0,124,137,0.0
9,6,16,109.0,109,102,0.0
9,81,21,35.0,35,31,0.0
9,101,27,53.0,53,54,0.0
9,42,15,119.0,119,105,0.0
9,93,12,31.0,31,36,0.0
9,119,28,1.0,1,6,0.0
9,30,31,0.0,0,0,0.0
9,91,29,14.0,14,4,0.0
9,68,10,142.0,142,149,0.0
9,36,20,227.0,227,230,0.0
9,48,0,67.0,67,75,0.0
9,115,13,63.0,63,75,0.0
9,110,3,18.0,18,29,0.0
9,114,17,0.0,0,1,0.0
9,29,0,6.0,6,9,0.0
9,97,1,55.0,55,56,0.0
9,109,13,83.0,83,79,0.0
9,17,25,41.0,41,51,0.0
9,2,7,237.0,237,268,0.0
9,79,7,17.0,17,16,0.0
9,84,2,29.0,29,26,0.0
9,51,28,10.0,10,13,0.0
9,14,19,66.0,66,65,0.0
9,103,31,0.0,0,2,0.0
9,64,20,229.0,229,234,0.0
9,37,20,198.0,198,224,0.0
9,54,8,173.0,173,192,0.0
9,78,8,25.0,25,22,0.0
10,112,24,47.0,47,50,0.0
10,10,6,257.0,257,264,0.0
10,63,12,29.0,29,45,0.0
10,98,30,48.0,48,43,0.0
10,43,24,157.0,157,167,0.0
10,77,15,19.0,19,20,0.0
10,33,12,8.0,8,8,0.0
10,45,15,115.0,115,107,0.0
10,59,14,95.0,95,102,0.0
10,12,19,54.0,54,66,0.0
10,61,16,64.0,64,75,0.0
10,51,3,68.0,68,73,0.0
10,110,2,40.0,40,41,0.0
10,34,6,42.0,42,50,0.0
10,41,25,63.0,63,83,0.0
10,109,23,33.0,33,33,0.0
10,29,25,2.0,2,5,0.0
10,4,29,4.0,4,9,0.0
10,93,12,31.0,31,36,0.0
10,68,4,75.0,75,73,0.0
10,20,24,67.0,67,91,0.0
10,23,8,115.0,115,114,0.0
10,6,27,100.0,100,99,0.0
10,58,17,1.0,1,1,0.0
10,116,9,150.0,150,133,0.0
10,117,23,23.0,23,26,0.0
10,47,20,355.0,355,342,0.0
10,46,2,110.0,110,102,0.0
10,21,29,6.0,6,7,0.0
10,99,3,30.0,30,34,0.0
11,28,1,25.0,25,20,0.0
11,15,22,137.0,137,143,0.0
11,1,9,353.0,353,358,0.0
11,106,4,56.0,56,40,0.0
11,88,30,30.0,30,50,0.0
11,72,0,26.0,26,19,0.0
11,46,9,380.0,380,354,0.0
11,66,17,0.0,0,0,0.0
11,86,19,53.0,53,65,0.0
11,44,7,224.0,224,221,0.0
11,48,20,405.0,405,369,0.0
11,5,20,348.0,348,417,0.0
11,77,21,28.0,28,31,0.0
11,6,14,121.0,121,135,0.0
11,89,13,140.0,140,106,0.0
11,45,13,196.0,196,165,0.0
11,3,29,10.0,10,7,0.0
11,23,7,148.0,148,116,0.0
11,26,29,3.0,3,1,0.0
11,33,5,14.0,14,19,0.0
11,102,0,53.0,53,38,0.0
11,31,26,16.0,16,16,0.0
11,63,16,58.0,58,73,0.0
11,27,23,19.0,19,14,0.0
11,70,29,7.0,7,5,0.0
11,105,7,111.0,111,114,0.0
11,14,1,92.0,92,81,0.0
11,58,0,56.0,56,53,0.0
11,95,6,172.0,172,162,0.0
11,29,0,6.0,6,9,0.0
12,78,24,4.0,5,11,0.21969457021793012
12,113,11,43.0,57,42,0.3145627630506304
12,28,4,12.0,16,13,0.3150082308487671
12,74,18,44.0,56,41,0.2646510582416078
12,85,16,33.0,43,36,0.3045835814644904
12,96,11,54.0,75,55,0.3970662880643111
12,41,24,162.0,223,158,0.3782092812424237
12,26,26,35.0,49,39,0.40640363595139556
12,56,21,167.0,202,145,0.21069761308775062
12,70,3,78.0,95,63,0.21293490433290613
12,17,4,65.0,85,75,0.30305703678641854
12,49,10,182.0,248,200,0.36347875236271204
12,110,20,153.0,187,195,0.22421485792553753
12,116,7,92.0,110,81,0.1935302716626205
12,36,2,33.0,42,33,0.26445069925375075
12,25,30,16.0,19,21,0.17877363803473995
12,31,2,11.0,14,13,0.24680503704192186
12,66,6,223.0,274,213,0.22666361377246447
12,27,10,40.0,46,34,0.14409458629678196
12,94,23,25.0,34,49,0.352626087585103
12,33,1,20.0,27,21,0.3458725378316388
12,4,8,246.0,311,281,0.2646429367909242
12,88,31,1.0,1,1,0.19466561706613278
12,103,20,194.0,254,181,0.31135162430350555
12,46,5,137.0,180,126,0.3156200763145123
12,32,3,7.0,10,8,0.44191370177621725
12,64,2,71.0,87,75,0.22114619052284834
12,119,1,5.0,7,37,0.4197141410789736
12,79,5,12.0,15,14,0.21484298780788208
12,1,21,171.0,253,186,0.4823079846148937
13,55,14,86.0,86,116,0.0
13,51,27,87.0,87,87,0.0
13,1,27,73.0,73,87,0.0
13,104,20,178.0,178,140,0.0
13,79,19,9.0,9,8,0.0
13,2,13,169.0,169,184,0.0
13,56,0,55.0,55,65,0.0
13,77,18,24.0,24,21,0.0
13,36,16,40.0,40,45,0.0
13,87,31,0.0,0,1,0.0
13,90,2,49.0,49,49,0.0
13,86,9,215.0,215,146,0.0
13,40,31,0.0,0,1,0.0
13,89,5,87.0,87,96,0.0
13,34,31,0.0,0,1,0.0
13,28,6,31.0,31,28,0.0
13,114,19,23.0,23,33,0.0
13,8,19,101.0,101,80,0.0
13,49,7,237.0,237,240,0.0
13,19,31,0.0,0,0,0.0
13,110,16,36.0,36,46,0.0
13,3,13,188.0,188,203,0.0
13,112,18,85.0,85,85,0.0
13,29,26,15.0,15,18,0.0
13,5,7,259.0,259,267,0.0
13,103,8,120.0,120,117,0.0
13,11,14,105.0,105,117,0.0
13,93,19,39.0,39,59,0.0
13,81,20,67.0,67,85,0.0
13,4,9,371.0,371,412,0.0
14,98,26,67.0,67,82,0.0
14,96,19,40.0,40,50,0.0
14,86,5,65.0,65,55,0.0
14,26,17,0.0,0,0,0.0
14,36,1,41.0,41,40,0.0
14,30,17,0.0,0,0,0.0
14,67,8,84.0,84,87,0.0
14,17,27,92.0,92,81,0.0
14,52,8,233.0,233,246,0.0
14,79,22,22.0,22,22,0.0
14,33,2,19.0,19,17,0.0
14,93,4,41.0,41,57,0.0
14,44,9,370.0,370,326,0.0
14,23,0,59.0,59,52,0.0
14,4,5,143.0,143,145,0.0
14,85,27,37.0,37,43,0.0
14,102,6,147.0,147,147,0.0
14,7,21,207.0,207,178,0.0
14,16,7,199.0,199,194,0.0
14,95,22,116.0,116,100,0.0
14,116,21,80.0,80,78,0.0
14,76,17,0.0,0,0,0.0
14,62,27,64.0,64,75,0.0
14,66,21,146.0,146,158,0.0
14,119,5,6.0,6,45,0.0
14,13,17,0.0,0,1,0.0
14,63,13,117.0,117,140,0.0
14,111,3,35.0,35,29,0.0
14,32,17,0.0,0,0,0.0
14,84,11,39.0,39,32,0.0
15,90,9,217.0,217,218,0.0
15,116,11,54.0,54,37,0.0
15,110,14,45.0,45,59,0.0
15,46,14,115.0,115,120,0.0
15,78,4,7.0,7,10,0.0
15,19,16,72.0,72,61,0.0
15,72,29,1.0,1,1,0.0
15,94,21,121.0,121,123,0.0
15,45,24,143.0,143,165,0.0
15,24,25,22.0,22,25,0.0
15,54,25,88.0,88,73,0.0
15,9,6,273.0,273,281,0.0
15,64,16,59.0,59,62,0.0
15,117,23,23.0,23,26,0.0
15,40,30,100.0,100,84,0.0
15,55,31,0.0,0,1,0.0
15,42,2,89.0,89,88,0.0
15,44,19,79.0,79,80,0.0
15,105,12,51.0,51,32,0.0
15,83,23,28.0,28,25,0.0
15,75,9,84.0,84,61,0.0
15,52,10,209.0,209,204,0.0
15,113,2,53.0,53,41,0.0
15,108,17,1.0,1,1,0.0
15,79,24,11.0,11,10,0.0
15,57,10,187.0,187,192,0.0
15,4,3,78.0,78,89,0.0
15,56,4,59.0,59,76,0.0
15,98,10,150.0,150,108,0.0
15,7,13,190.0,190,191,0.0
16,111,20,130.0,130,170,0.0
16,82,30,10.0,10,13,0.0
16,58,29,5.0,5,5,0.0
16,102,28,12.0,12,8,0.0
16,14,7,198.0,198,209,0.0
16,90,17,1.0,1,1,0.0
16,41,24,162.0,162,158,0.0
16,84,26,53.0,53,59,0.0
16,29,30,6.0,6,5,0.0
16,45,21,191.0,191,170,0.0
16,24,22,56.0,56,65,0.0
16,67,4,62.0,62,65,0.0
16,77,19,11.0,11,9,0.0
16,69,23,45.0,45,39,0.0
16,81,29,0.0,0,1,0.0
16,100,22,100.0,100,90,0.0
16,38,24,109.0,109,123,0.0
16,72,20,107.0,107,66,0.0
16,23,14,68.0,68,58,0.0
16,65,31,0.0,0,0,0.0
16,18,3,75.0,75,66,0.0
16,108,1,60.0,60,51,0.0
16,25,26,50.0,50,46,0.0
16,49,16,98.0,98,99,0.0
16,21,0,63.0,63,68,0.0
16,80,27,17.0,17,11,0.0
16,95,8,146.0,146,136,0.0
16,101,30,40.0,40,43,0.0
16,0,6,307.0,307,288,0.0
16,16,26,118.0,118,97,0.0
17,17,8,128.0,128,174,0.0
17,53,7,181.0,181,232,0.0
17,19,21,180.0,180,182,0.0
17,111,7,91.0,91,101,0.0
17,1,2,111.0,111,109,0.0
17,90,4,50.0,50,56,0.0
17,83,28,6.0,6,5,0.0
17,88,21,125.0,125,111,0.0
17,49,26,113.0,113,135,0.0
17,65,26,99.0,99,105,0.0
17,86,11,84.0,84,49,0.0
17,29,15,10.0,10,13,0.0
17,98,18,92.0,92,106,0.0
17,5,23,91.0,91,73,0.0
17,16,26,118.0,118,97,0.0
17,109,5,68.0,68,55,0.0
17,100,11,57.0,57,55,0.0
17,113,30,26.0,26,28,0.0
17,52,8,233.0,233,246,0.0
17,32,15,22.0,22,13,0.0
17,54,4,106.0,106,75,0.0
17,9,16,76.0,76,80,0.0
17,103,17,1.0,1,3,0.0
17,15,24,85.0,85,91,0.0
17,46,16,97.0,97,87,0.0
17,3,7,256.0,256,252,0.0
17,31,19,7.0,7,6,0.0
17,27,3,27.0,27,16,0.0
17,110,27,47.0,47,43,0.0
17,68,8,93.0,93,86,0.0
18,119,17,0.0,0,0,0.0
18,22,26,117.0,117,110,0.0
18,45,12,50.0,50,53,0.0
18,99,6,170.0,170,148,0.0
18,31,5,11.0,11,13,0.0
18,12,27,68.0,68,84,0.0
18,79,1,19.0,19,14,0.0
18,74,5,48.0,48,32,0.0
18,62,28,11.0,11,12,0.0
18,60,0,26.0,26,48,0.0
18,103,21,95.0,95,92,0.0
18,35,0,12.0,12,16,0.0
18,93,21,117.0,117,125,0.0
18,73,25,14.0,14,17,0.0
18,112,19,36.0,36,35,0.0
18,88,15,71.0,71,70,0.0
18,75,5,34.0,34,30,0.0
18,104,12,41.0,41,29,0.0
18,30,15,14.0,14,13,0.0
18,97,28,9.0,9,9,0.0
18,13,12,48.0,48,59,0.0
18,87,12,30.0,30,34,0.0
18,14,25,46.0,46,46,0.0
18,70,17,0.0,0,0,0.0
18,57,31,0.0,0,1,0.0
18,58,16,43.0,43,58,0.0
18,92,17,0.0,0,1,0.0
18,47,23,58.0,58,64,0.0
18,38,11,46.0,46,53,0.0
18,42,10,175.0,175,201,0.0
19,65,9,250.0,250,249,0.0
19,95,29,6.0,6,4,0.0
19,118,17,0.0,0,1,0.0
19,35,25,23.0,23,24,0.0
19,77,16,7.0,7,9,0.0
19,74,15,37.0,37,33,0.0
19,93,8,111.0,111,134,0.0
19,36,19,47.0,47,63,0.0
19,2,28,16.0,16,14,0.0
19,92,20,220.0,220,242,0.0
19,15,16,68.0,68,78,0.0
19,87,1,59.0,59,58,0.0
19,90,8,143.0,143,143,0.0
19,69,14,65.0,65,73,0.0
19,39,12,32.0,32,32,0.0
19,111,20,130.0,130,170,0.0
19,98,27,51.0,51,59,0.0
19,67,30,62.0,62,46,0.0
19,62,27,64.0,64,75,0.0
19,26,2,31.0,31,41,0.0
19,83,20,234.0,234,277,0.0
19,8,0,69.0,69,81,0.0
19,72,23,18.0,18,13,0.0
19,41,11,49.0,49,67,0.0
19,56,25,62.0,62,64,0.0
19,28,22,33.0,33,23,0.0
19,71,10,42.0,42,96,0.0
19,89,12,37.0,37,40,0.0
19,105,14,78.0,78,60,0.0
19,97,26,88.0,88,91,0.0
20,7,7,226.0,226,241,0.0
20,34,27,22.0,22,29,0.0
20,18,14,103.0,103,109,0.0
20,112,2,41.0,41,39,0.0
20,99,29,2.0,2,4,0.0
20,52,17,0.0,0,2,0.0
20,28,15,9.0,9,19,0.0
20,100,25,52.0,52,36,0.0
20,14,18,171.0,171,172,0.0
20,71,24,22.0,22,50,0.0
20,31,1,13.0,13,14,0.0
20,12,7,212.0,212,207,0.0
20,98,14,73.0,73,74,0.0
20,93,22,119.0,119,102,0.0
20,97,2,62.0,62,54,0.0
20,15,29,2.0,2,6,0.0
20,10,20,273.0,273,254,0.0
20,63,0,52.0,52,56,0.0
20,32,26,20.0,20,16,0.0
20,39,14,92.0,92,80,0.0
20,85,15,50.0,50,46,0.0
20,68,8,93.0,93,86,0.0
20,82,29,2.0,2,1,0.0
20,66,22,120.0,120,115,0.0
20,92,29,4.0,4,4,0.0
20,55,29,6.0,6,6,0.0
20,86,2,60.0,60,36,0.0
20,115,19,21.0,21,31,0.0
20,33,12,8.0,8,8,0.0
20,9,28,17.0,17,13,0.0
21,17,3,49.0,49,65,0.0
21,42,23,71.0,71,80,0.0
21,32,8,14.0,14,15,0.0
21,113,14,58.0,58,48,0.0
21,83,31,0.0,0,1,0.0
21,21,3,74.0,74,74,0.0
21,39,14,92.0,92,80,0.0
21,96,27,49.0,49,62,0.0
21,9,6,273.0,273,281,0.0
21,114,1,44.0,44,52,0.0
21,45,0,77.0,77,75,0.0
21,41,9,269.0,269,316,0.0
21,99,11,63.0,63,52,0.0
21,26,31,0.0,0,0,0.0
21,20,20,288.0,288,332,0.0
21,88,26,80.0,80,89,0.0
21,8,19,101.0,101,80,0.0
21,112,15,37.0,37,53,0.0
21,2,5,133.0,133,140,0.0
21,13,18,171.0,171,162,0.0
21,60,15,81.0,81,85,0.0
21,116,24,32.0,32,47,0.0
21,107,4,46.0,46,41,0.0
21,54,3,84.0,84,61,0.0
21,30,0,8.0,8,8,0.0
21,117,17,0.0,0,1,0.0
21,66,13,128.0,128,138,0.0
21,10,10,223.0,223,216,0.0
21,51,7,215.0,215,229,0.0
21,104,31,0.0,0,1,0.0
22,22,25,47.0,47,42,0.0
22,76,14,23.0,23,22,0.0
22,44,26,159.0,159,120,0.0
22,42,5,107.0,107,110,0.0
22,97,17,0.0,0,2,0.0
22,37,30,44.0,44,49,0.0
22,9,10,271.0,271,240,0.0
22,1,27,73.0,73,87,0.0
22,67,9,223.0,223,201,0.0
22,15,12,37.0,37,44,0.0
22,57,1,110.0,110,88,0.0
22,79,6,19.0,19,23,0.0
22,60,7,164.0,164,150,0.0
22,35,8,37.0,37,35,0.0
22,3,16,137.0,137,107,0.0
22,0,16,112.0,112,92,0.0
22,61,24,110.0,110,102,0.0
22,66,17,0.0,0,0,0.0
22,113,25,19.0,19,29,0.0
22,85,24,67.0,67,78,0.0
22,43,24,157.0,157,167,0.0
22,63,4,56.0,56,69,0.0
22,110,13,62.0,62,79,0.0
22,106,29,2.0,2,4,0.0
22,118,30,13.0,13,23,0.0
22,4,14,134.0,134,140,0.0
22,31,31,0.0,0,0,0.0
22,99,29,2.0,2,4,0.0
22,98,31,1.0,1,1,0.0
22,105,23,42.0,42,42,0.0
23,54,31,2.0,2,1,0.0
23,19,21,180.0,180,182,0.0
23,7,4,111.0,111,99,0.0
23,51,22,169.0,169,142,0.0
23,108,4,47.0,47,39,0.0
23,113,20,148.0,148,162,0.0
23,29,5,19.0,19,14,0.0
23,61,19,50.0,50,54,0.0
23,58,3,46.0,46,46,0.0
23,67,24,90.0,90,79,0.0
23,109,30,27.0,27,35,0.0
23,105,12,51.0,51,32,0.0
23,117,5,72.0,72,65,0.0
23,15,24,85.0,85,91,0.0
23,85,26,75.0,75,59,0.0
23,92,11,52.0,52,50,0.0
23,83,16,11.0,11,21,0.0
23,40,19,60.0,60,80,0.0
23,33,8,32.0,32,21,0.0
23,71,22,31.0,31,71,0.0
23,18,4,97.0,97,78,0.0
23,39,13,127.0,127,113,0.0
23,14,27,73.0,73,80,0.0
23,111,3,35.0,35,29,0.0
23,10,2,94.0,94,96,0.0
23,79,16,5.0,5,8,0.0
23,1,10,196.0,196,210,0.0
23,47,12,49.0,49,54,0.0
23,94,2,56.0,56,54,0.0
23,22,1,106.0,106,118,0.0
24,65,28,25.0,32,13,0.27811717483916104
24,62,6,214.0,253,214,0.18334700244279595
24,105,30,45.0,59,37,0.3213015584308676
24,108,28,10.0,14,9,0.3990755881286858
24,58,4,65.0,90,59,0.381646490912635
24,31,27,14.0,19,11,0.3266981531397802
24,86,9,215.0,267,146,0.24154979586492598
24,46,17,1.0,1,1,0.3782256939431669
24,109,14,55.0,77,63,0.3951618027594174
24,40,14,86.0,108,97,0.2596790021683927
24,73,8,61.0,78,72,0.27540309752096886
24,12,15,112.0,140,104,0.24612004287402792
24,114,0,33.0,47,34,0.4277193538432783
24,47,22,131.0,178,138,0.35793808945169225
24,55,15,86.0,125,83,0.4571309381070102
24,37,15,72.0,100,75,0.3829259736317921
24,44,16,111.0,145,92,0.308301066692698
24,2,19,115.0,138,102,0.1993456211015972
24,110,17,0.0,1,1,0.23959471109575456
24,1,8,218.0,288,249,0.3229529983276306
24,6,9,369.0,519,380,0.40715135090795307
24,27,30,11.0,15,11,0.3950217688252935
24,92,10,99.0,119,113,0.20238155316075013
24,5,2,107.0,128,126,0.1987890184428383
24,117,20,151.0,195,134,0.292006135931547
24,80,24,11.0,12,12,0.05064919806369603
24,34,1,25.0,33,27,0.32117611595060136
24,118,15,48.0,63,44,0.3158047329346654
24,29,24,16.0,22,10,0.38444622588313876
24,106,6,174.0,237,141,0.3645820878268981
25,65,24,85.0,85,92,0.0
25,98,1,55.0,55,58,0.0
25,71,0,43.0,43,46,0.0
25,81,27,14.0,14,15,0.0
25,13,8,216.0,216,220,0.0
25,20,31,0.0,0,0,0.0
25,101,9,176.0,176,186,0.0
25,56,1,109.0,109,90,0.0
25,87,4,66.0,66,49,0.0
25,10,20,273.0,273,254,0.0
25,36,27,33.0,33,41,0.0
25,66,23,43.0,43,47,0.0
25,11,29,6.0,6,6,0.0
25,106,23,29.0,29,34,0.0
25,61,29,6.0,6,5,0.0
25,47,17,0.0,0,1,0.0
25,112,11,49.0,49,47,0.0
25,0,28,10.0,10,13,0.0
25,107,25,30.0,30,34,0.0
25,72,11,27.0,27,17,0.0
25,104,8,113.0,113,112,0.0
